% Model,verification_2d_nozzle_tapered.mph
% Version,COMSOL 5.4.0.388
% Date,"Oct 8 2021, 14:24"
% Dimension,2
% Nodes,13231
% Expressions,1
% Description,"Current density, phi component"
% Length unit,m
% R,Z,mef.Jphi (A/m^2) @ freq=2E6
8.4E-4,0.00252,6.620862647910735E-4-2.493130662397781E-4i
8.500000000000001E-4,0.00252,6.938775017469056E-4-2.426815250761581E-4i
8.600000000000001E-4,0.00252,7.249625361654963E-4-2.3644257530335244E-4i
8.7E-4,0.00252,7.554752947118676E-4-2.3053456723267545E-4i
8.8E-4,0.00252,7.854458323551809E-4-2.249205288277197E-4i
8.900000000000001E-4,0.00252,8.147800300586303E-4-2.1959591644120033E-4i
9.000000000000001E-4,0.00252,8.434797457284335E-4-2.1454253800866628E-4i
9.1E-4,0.00252,8.71637448810859E-4-2.0970293122667724E-4i
9.2E-4,0.00252,8.992037872604285E-4-2.0510023455824636E-4i
9.3E-4,0.00252,9.261988273394163E-4-2.0069020966854794E-4i
9.400000000000001E-4,0.00252,9.52611091852167E-4-1.9648437096842118E-4i
9.5E-4,0.00252,9.784699796066881E-4-1.9244552342079587E-4i
9.6E-4,0.00252,0.0010037767376865825-1.885718140097276E-4i
9.7E-4,0.00252,0.0010285470155055854-1.8485287727896808E-4i
9.800000000000002E-4,0.00252,0.0010527846947772494-1.812769438879857E-4i
9.9E-4,0.00252,0.001076476246482375-1.7783483419951023E-4i
0.001,0.00252,0.0010996501649004717-1.745193180893446E-4i
0.00101,0.00252,0.0011223206188708187-1.713233048132332E-4i
0.00102,0.00252,0.0011444807064969642-1.6823884958436556E-4i
0.00103,0.00252,0.0011661358279239555-1.6526011070917422E-4i
0.0010400000000000001,0.00252,0.0011872999083321514-1.6237998332891055E-4i
0.0010500000000000002,0.00252,0.0012079802760479028-1.595970655489273E-4i
0.0010600000000000002,0.00252,0.0012281908655427589-1.5689881906816484E-4i
0.0010700000000000002,0.00252,0.0012479258126048885-1.54289374739497E-4i
0.00108,0.00252,0.00126719931118748-1.5175764657643842E-4i
0.00109,0.00252,0.0012860125241416337-1.4930452777180746E-4i
0.0011,0.00252,0.00130438080315325-1.4692322069955786E-4i
0.00111,0.00252,0.0013223055547240412-1.446123007768024E-4i
0.0011200000000000001,0.00252,0.0013397945492355575-1.423662787837877E-4i
0.0011300000000000001,0.00252,0.0013568512324162814-1.4018367855657987E-4i
0.0011400000000000002,0.00252,0.0013734867125526611-1.3806078387866902E-4i
0.0011500000000000002,0.00252,0.0013897056628516882-1.3599645193454522E-4i
